ds,pi,gap,nr_acc,gain,nV,nS,follow,ok
gpqa_extended,30742,0.2375,0.125,0.22499999999999998,2,12,0.4375,False
gpqa_extended,30743,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30744,0.0,0.0,0.5,0,0,0.0,False
gpqa_extended,30745,0.78125,0.0,0.0,16,9,0.78125,False
gpqa_extended,30746,0.525,0.125,-0.024999999999999994,5,15,0.625,False
gpqa_extended,30747,0.0,0.5,-0.4,0,0,0.0,False
gpqa_extended,30748,0.10625,0.375,0.475,0,5,0.15625,False
gpqa_extended,30749,0.06874999999999998,0.0,0.0,6,25,0.96875,False
gpqa_extended,30750,0.03125,0.125,0.875,0,1,0.03125,False
gpqa_extended,30751,-0.05,0.0,0.0,0,0,0.0,False
gpqa_extended,30752,0.0625,0.5,-0.25,2,0,0.0625,False
gpqa_extended,30753,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30754,0.34375,0.375,0.07500000000000001,1,26,0.84375,False
gpqa_extended,30755,0.0,0.0,0.9,0,0,0.0,False
gpqa_extended,30756,0.08750000000000002,0.0,0.0,2,28,0.9375,False
gpqa_extended,30757,0.0,0.0,0.05,0,0,0.0,False
gpqa_extended,30758,0.5625,0.0,0.0,6,12,0.5625,False
gpqa_extended,30759,0.775,0.0,0.3,3,25,0.875,True
gpqa_extended,30760,0.04999999999999999,0.875,-0.32499999999999996,0,16,0.5,False
gpqa_extended,30761,0.03125,0.125,-0.125,0,1,0.03125,False
gpqa_extended,30762,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30763,0.0625,0.0,0.0,1,1,0.0625,False
gpqa_extended,30764,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30765,0.25,0.375,-0.225,9,23,1.0,False
gpqa_extended,30766,0.575,0.0,0.0,1,27,0.875,False
gpqa_extended,30767,0.60625,0.25,-0.1,2,27,0.90625,False
gpqa_extended,30768,0.03125,0.0,0.15,0,1,0.03125,False
gpqa_extended,30769,0.11875,0.125,-0.125,4,3,0.21875,False
gpqa_extended,30770,0.225,0.625,0.17500000000000004,0,12,0.375,False
gpqa_extended,30771,0.10625,0.0,0.0,1,4,0.15625,False
gpqa_extended,30772,0.0,0.0,0.75,0,0,0.0,False
gpqa_extended,30773,0.375,0.0,0.15,5,15,0.625,False
gpqa_extended,30774,0.35625,0.25,-0.1,3,10,0.40625,False
gpqa_extended,30775,0.5,0.25,0.15000000000000002,8,24,1.0,False
gpqa_extended,30776,0.28125,0.25,0.44999999999999996,5,4,0.28125,False
gpqa_extended,30777,0.0625,0.25,-0.25,0,2,0.0625,False
gpqa_extended,30778,0.0,0.0,0.75,0,0,0.0,False
gpqa_extended,30779,0.0,0.0,0.9,0,0,0.0,False
gpqa_extended,30780,0.0625,0.75,0.09999999999999998,2,0,0.0625,False
gpqa_extended,30781,0.09375,0.25,0.35,1,10,0.34375,False
gpqa_extended,30782,0.0625,0.0,0.1,0,2,0.0625,False
gpqa_extended,30783,0.04375,0.25,0.6,0,3,0.09375,False
gpqa_extended,30784,0.0,0.375,-0.325,0,0,0.0,False
gpqa_extended,30785,0.21875,0.0,0.0,0,7,0.21875,False
gpqa_extended,30786,0.0,0.625,0.32499999999999996,0,0,0.0,False
gpqa_extended,30787,0.45,1.0,-0.95,13,11,0.75,False
gpqa_extended,30788,0.34375,0.5,-0.25,4,7,0.34375,False
gpqa_extended,30789,0.03125,0.125,-0.024999999999999994,0,1,0.03125,False
gpqa_extended,30790,0.0,0.0,0.05,0,0,0.0,False
gpqa_extended,30791,0.0,0.0,0.9,0,0,0.0,False
gpqa_extended,30792,0.71875,0.375,-0.375,21,2,0.71875,False
gpqa_extended,30793,0.0,0.75,0.25,0,0,0.0,False
gpqa_extended,30794,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30795,-0.13749999999999996,0.125,-0.125,11,15,0.8125,False
gpqa_extended,30796,0.0,0.375,0.625,0,0,0.0,False
gpqa_extended,30797,0.0,0.5,-0.5,0,0,0.0,False
gpqa_extended,30798,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30799,0.0,0.25,0.75,0,0,0.0,False
gpqa_extended,30800,0.1875,1.0,-0.050000000000000044,6,0,0.1875,False
gpqa_extended,30801,0.1375,0.375,-0.025000000000000022,3,3,0.1875,False
gpqa_extended,30802,0.0,0.5,0.5,0,0,0.0,False
gpqa_extended,30803,0.0,0.625,-0.325,0,0,0.0,False
gpqa_extended,30805,0.0,0.0,0.3,0,0,0.0,False
gpqa_extended,30806,0.0,0.125,0.375,0,0,0.0,False
gpqa_extended,30807,-0.043749999999999956,0.0,0.0,0,21,0.65625,False
gpqa_extended,30808,0.0,0.0,0.75,0,0,0.0,False
gpqa_extended,30809,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30810,0.03125,0.0,0.95,1,0,0.03125,False
gpqa_extended,30811,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30812,0.03125,0.875,-0.825,1,0,0.03125,False
gpqa_extended,30813,0.0,1.0,-0.050000000000000044,0,0,0.0,False
gpqa_extended,30814,0.28125,0.5,-0.15000000000000002,6,3,0.28125,False
gpqa_extended,30815,0.14375000000000004,0.5,-0.2,0,27,0.84375,False
